name,h2,h3,h4,endorser,link
Amy Klobuchar,Notable individuals,"Academics, experts, and writers",False,John Bessler,https://en.wikipedia.org/wiki/John_Bessler
Amy Klobuchar,Notable individuals,"Academics, experts, and writers",False,David Fitzsimmons (cartoonist),https://en.wikipedia.org/w/index.php?title=David_Fitzsimmons_(cartoonist)&action=edit&redlink=1
Amy Klobuchar,Notable individuals,"Academics, experts, and writers",False,Jim Klobuchar,https://en.wikipedia.org/wiki/Jim_Klobuchar
Amy Klobuchar,Notable individuals,Athletes and sports figures,False,Phill Drobnick,https://en.wikipedia.org/wiki/Phill_Drobnick
Amy Klobuchar,Notable individuals,Entertainers,False,Greg Berlanti,https://en.wikipedia.org/wiki/Greg_Berlanti
Amy Klobuchar,Notable individuals,Entertainers,False,Jane Lynch,https://en.wikipedia.org/wiki/Jane_Lynch
Amy Klobuchar,Notable individuals,Entertainers,False,Teri Hatcher,https://en.wikipedia.org/wiki/Teri_Hatcher
Amy Klobuchar,Notable individuals,Entertainers,False,Clay Aiken,https://en.wikipedia.org/wiki/Clay_Aiken
Amy Klobuchar,Notable individuals,Political activists,False,Melanie Benjamin,https://en.wikipedia.org/wiki/Melanie_Benjamin_(Ojibwe_leader)
Amy Klobuchar,Notable individuals,Political activists,False,Amy Siskind,https://en.wikipedia.org/wiki/Amy_Siskind
Amy Klobuchar,Notable individuals,Political activists,False,Charlie Vig,https://en.wikipedia.org/wiki/Charlie_Vig
Amy Klobuchar,Organizations,Newspapers,False,Iowa City Press-Citizen,https://en.wikipedia.org/wiki/Iowa_City_Press-Citizen
Amy Klobuchar,Organizations,Newspapers,False,New Hampshire Union Leader,https://en.wikipedia.org/wiki/New_Hampshire_Union_Leader
Amy Klobuchar,Organizations,Newspapers,False,Quad-City Times,https://en.wikipedia.org/wiki/Quad-City_Times
Amy Klobuchar,Organizations,Newspapers,False,Seacoast Media Group,https://en.wikipedia.org/wiki/Seacoast_Media_Group
Amy Klobuchar,Organizations,Newspapers,False,The New York Times,https://en.wikipedia.org/wiki/The_New_York_Times
Amy Klobuchar,Organizations,Newspapers,False,The Keene Sentinel,https://en.wikipedia.org/wiki/The_Keene_Sentinel
Amy Klobuchar,Organizations,Newspapers,False,Las Vegas Sun,https://en.wikipedia.org/wiki/Las_Vegas_Sun
Amy Klobuchar,Organizations,Newspapers,False,The Mercury News,https://en.wikipedia.org/wiki/The_Mercury_News
Amy Klobuchar,Organizations,Newspapers,False,Houston Chronicle,https://en.wikipedia.org/wiki/Houston_Chronicle
Amy Klobuchar,Organizations,Newspapers,False,San Francisco Chronicle,https://en.wikipedia.org/wiki/San_Francisco_Chronicle
Amy Klobuchar,Organizations,Newspapers,False,The Seattle Times,https://en.wikipedia.org/wiki/The_Seattle_Times
Joe Biden,Federal legislative officials,U.S. Senators,Current,Tom Carper,https://en.wikipedia.org/wiki/Tom_Carper
Joe Biden,Federal legislative officials,U.S. Senators,Current,Bob Casey Jr.,https://en.wikipedia.org/wiki/Bob_Casey_Jr.
Joe Biden,Federal legislative officials,U.S. Senators,Current,Chris Coons,https://en.wikipedia.org/wiki/Chris_Coons
Joe Biden,Federal legislative officials,U.S. Senators,Current,Dianne Feinstein,https://en.wikipedia.org/wiki/Dianne_Feinstein
Joe Biden,Federal legislative officials,U.S. Senators,Current,Doug Jones,https://en.wikipedia.org/wiki/Doug_Jones_(politician)
Joe Biden,Federal legislative officials,U.S. Senators,Former,Max Baucus,https://en.wikipedia.org/wiki/Max_Baucus
Joe Biden,Federal legislative officials,U.S. Senators,Former,Bill Bradley,https://en.wikipedia.org/wiki/Bill_Bradley
Joe Biden,Federal legislative officials,U.S. Senators,Former,Richard Bryan,https://en.wikipedia.org/wiki/Richard_Bryan
Joe Biden,Federal legislative officials,U.S. Senators,Former,Max Cleland,https://en.wikipedia.org/wiki/Max_Cleland
Joe Biden,Federal legislative officials,U.S. Senators,Former,Tom Daschle,https://en.wikipedia.org/wiki/Tom_Daschle
Joe Biden,Federal legislative officials,U.S. Senators,Former,Dennis DeConcini,https://en.wikipedia.org/wiki/Dennis_DeConcini
Joe Biden,Federal legislative officials,U.S. Senators,Former,Chris Dodd,https://en.wikipedia.org/wiki/Chris_Dodd
Joe Biden,Federal legislative officials,U.S. Senators,Former,Bob Graham,https://en.wikipedia.org/wiki/Bob_Graham
Joe Biden,Federal legislative officials,U.S. Senators,Former,Gordon J. Humphrey,https://en.wikipedia.org/wiki/Gordon_J._Humphrey
Joe Biden,Federal legislative officials,U.S. Senators,Former,Bob Kerrey,https://en.wikipedia.org/wiki/Bob_Kerrey
Joe Biden,Federal legislative officials,U.S. Senators,Former,Paul G. Kirk,https://en.wikipedia.org/wiki/Paul_G._Kirk
Joe Biden,Federal legislative officials,U.S. Senators,Former,Carol Moseley Braun,https://en.wikipedia.org/wiki/Carol_Moseley_Braun
Joe Biden,Federal legislative officials,U.S. Senators,Former,Bill Nelson,https://en.wikipedia.org/wiki/Bill_Nelson
Joe Biden,Federal legislative officials,U.S. Senators,Former,David Pryor,https://en.wikipedia.org/wiki/David_Pryor
Joe Biden,Federal legislative officials,U.S. Senators,Former,Mark Pryor,https://en.wikipedia.org/wiki/Mark_Pryor
Joe Biden,Federal legislative officials,U.S. Senators,Former,Jim Sasser,https://en.wikipedia.org/wiki/Jim_Sasser
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Alma Adams,https://en.wikipedia.org/wiki/Alma_Adams
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Colin Allred,https://en.wikipedia.org/wiki/Colin_Allred
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Cindy Axne,https://en.wikipedia.org/wiki/Cindy_Axne
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Ami Bera,https://en.wikipedia.org/wiki/Ami_Bera
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Sanford Bishop,https://en.wikipedia.org/wiki/Sanford_Bishop
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Lisa Blunt Rochester,https://en.wikipedia.org/wiki/Lisa_Blunt_Rochester
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Brendan Boyle,https://en.wikipedia.org/wiki/Brendan_Boyle
Joe Biden,Federal legislative officials,U.S. Representatives,Current,G. K. Butterfield,https://en.wikipedia.org/wiki/G._K._Butterfield
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Tony Cárdenas,https://en.wikipedia.org/wiki/Tony_C%C3%A1rdenas
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Matt Cartwright,https://en.wikipedia.org/wiki/Matt_Cartwright
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Emanuel Cleaver,https://en.wikipedia.org/wiki/Emanuel_Cleaver
Joe Biden,Federal legislative officials,U.S. Representatives,Current,Lou Correa,https://en.wikipedia.org/wiki/Lou_Correa
